,0,1,2,3,4,5,6,7,8,9,10,11,AIC,BIC
1048,0,1,0,0,0,0,0,1,1,0,0,0,42.46790891,77.81854131
352,0,0,0,1,0,1,1,0,0,0,0,0,42.47988551,77.83051791
512,0,0,1,0,0,0,0,0,0,0,0,0,47.19698981,77.83420455
64,0,0,0,0,0,1,0,0,0,0,0,0,47.20996941,77.84718416
2193,1,0,0,0,1,0,0,1,0,0,0,1,40.17054547,77.87788669
1036,0,1,0,0,0,0,0,0,1,1,0,0,42.55993034,77.91056274
1120,0,1,0,0,0,1,1,0,0,0,0,0,42.58960914,77.94024154
1088,0,1,0,0,0,1,0,0,0,0,0,0,44.94642738,77.94035096
2056,1,0,0,0,0,0,0,0,1,0,0,0,44.96488751,77.95881109
548,0,0,1,0,0,0,1,0,0,1,0,0,42.70976174,78.06039414
1155,0,1,0,0,1,0,0,0,0,0,1,1,40.36001207,78.0673533
268,0,0,0,1,0,0,0,0,1,1,0,0,42.7260845,78.0767169
401,0,0,0,1,1,0,0,1,0,0,0,1,40.37126362,78.07860485
387,0,0,0,1,1,0,0,0,0,0,1,1,40.37459805,78.08193928
98,0,0,0,0,0,1,1,0,0,0,1,0,42.73948261,78.09011501
2179,1,0,0,0,1,0,0,0,0,0,1,1,40.39067881,78.09802004
1665,0,1,1,0,1,0,0,0,0,0,0,1,40.41634816,78.12368939
897,0,0,1,1,1,0,0,0,0,0,0,1,40.42807476,78.13541599
2689,1,0,1,0,1,0,0,0,0,0,0,1,40.43413066,78.14147189
643,0,0,1,0,1,0,0,0,0,0,1,1,40.46100668,78.16834791
288,0,0,0,1,0,0,1,0,0,0,0,0,45.27876891,78.27269248
2209,1,0,0,0,1,0,1,0,0,0,0,1,40.56990016,78.27724138
296,0,0,0,1,0,0,1,0,1,0,0,0,42.95948502,78.31011742
2128,1,0,0,0,0,1,0,1,0,0,0,0,42.98204018,78.33267258
165,0,0,0,0,1,0,1,0,0,1,0,1,40.74282994,78.45017117
276,0,0,0,1,0,0,0,1,0,1,0,0,43.10846258,78.45909498
2052,1,0,0,0,0,0,0,0,0,1,0,0,45.47702339,78.47094696
140,0,0,0,0,1,0,0,0,1,1,0,0,43.13094787,78.48158027
1409,0,1,0,1,1,0,0,0,0,0,0,1,40.8116768,78.51901803
197,0,0,0,0,1,1,0,0,0,1,0,1,40.81566338,78.52300461
260,0,0,0,1,0,0,0,0,0,1,0,0,45.53851685,78.53244042
141,0,0,0,0,1,0,0,0,1,1,0,1,40.82985523,78.53719646
2433,1,0,0,1,1,0,0,0,0,0,0,1,40.83671931,78.54406054
3201,1,1,0,0,1,0,0,0,0,0,0,1,40.83786241,78.54520364
153,0,0,0,0,1,0,0,1,1,0,0,1,40.8432141,78.55055532
528,0,0,1,0,0,0,0,1,0,0,0,0,45.56383948,78.55776306
169,0,0,0,0,1,0,1,0,1,0,0,1,40.85682147,78.5641627
164,0,0,0,0,1,0,1,0,0,1,0,0,43.2297575,78.5803899
1165,0,1,0,0,1,0,0,0,1,1,0,1,38.55455626,78.61860632
152,0,0,0,0,1,0,0,1,1,0,0,0,43.29608248,78.64671488
201,0,0,0,0,1,1,0,0,1,0,0,1,40.94461743,78.65195866
513,0,0,1,0,0,0,0,0,0,0,0,1,45.67710003,78.67102361
72,0,0,0,0,0,1,0,0,1,0,0,0,45.72004307,78.71396664
2049,1,0,0,0,0,0,0,0,0,0,0,1,45.72205,78.71597357
33,0,0,0,0,0,0,1,0,0,0,0,1,45.75643082,78.75035439
576,0,0,1,0,0,1,0,0,0,0,0,0,45.76495064,78.75887422
42,0,0,0,0,0,0,1,0,1,0,1,0,43.45375545,78.80438785
148,0,0,0,0,1,0,0,1,0,1,0,0,43.48046488,78.83109728
4,0,0,0,0,0,0,0,0,0,1,0,0,48.20332323,78.84053797
168,0,0,0,0,1,0,1,0,1,0,0,0,43.49610128,78.84673368
22,0,0,0,0,0,0,0,1,0,1,1,0,43.50105685,78.85168925
1028,0,1,0,0,0,0,0,0,0,1,0,0,45.86845497,78.86237854
520,0,0,1,0,0,0,0,0,1,0,0,0,45.877016,78.87093957
1104,0,1,0,0,0,1,0,1,0,0,0,0,43.52946954,78.88010194
176,0,0,0,0,1,0,1,1,0,0,0,0,43.542775,78.8934074
1044,0,1,0,0,0,0,0,1,0,1,0,0,43.56221914,78.91285154
2068,1,0,0,0,0,0,0,1,0,1,0,0,43.59589581,78.94652821
257,0,0,0,1,0,0,0,0,0,0,0,1,46.00539601,78.99931958
592,0,0,1,0,0,1,0,1,0,0,0,0,43.65249065,79.00312305
336,0,0,0,1,0,1,0,1,0,0,0,0,43.66073004,79.01136244
532,0,0,1,0,0,0,0,1,0,1,0,0,43.66821233,79.01884473
2,0,0,0,0,0,0,0,0,0,0,1,0,48.41373183,79.05094658
66,0,0,0,0,0,1,0,0,0,0,1,0,46.06271581,79.05663938
2113,1,0,0,0,0,1,0,0,0,0,0,1,43.73184323,79.08247563
321,0,0,0,1,0,1,0,0,0,0,0,1,43.74426614,79.09489854
18,0,0,0,0,0,0,0,1,0,0,1,0,46.10488668,79.09881025
65,0,0,0,0,0,1,0,0,0,0,0,1,46.12837766,79.12230124
1025,0,1,0,0,0,0,0,0,0,0,0,1,46.15648727,79.15041085
204,0,0,0,0,1,1,0,0,1,1,0,0,41.47694863,79.18428985
