,0,1,2,3,4,5,6,7,8,9,10,AIC,BIC
132,0,0,0,1,0,0,0,0,1,0,0,43.10799701,73.74521176
83,0,0,0,0,1,0,1,0,0,1,1,38.39808404,73.74871644
256,0,0,1,0,0,0,0,0,0,0,0,45.5593025,73.83980842
195,0,0,0,1,1,0,0,0,0,1,1,38.50044774,73.85108014
833,0,1,1,0,1,0,0,0,0,0,1,38.52641618,73.87704858
449,0,0,1,1,1,0,0,0,0,0,1,38.56538817,73.91602057
138,0,0,0,1,0,0,0,1,0,1,0,40.92361371,73.91753729
1345,1,0,1,0,1,0,0,0,0,0,1,38.58059496,73.93122736
516,0,1,0,0,0,0,0,0,1,0,0,43.299943,73.93715775
1034,1,0,0,0,0,0,0,1,0,1,0,40.95919977,73.95312334
209,0,0,0,1,1,0,1,0,0,0,1,38.65597578,74.00660818
99,0,0,0,0,1,1,0,0,0,1,1,38.81502699,74.16565939
304,0,0,1,0,0,1,1,0,0,0,0,41.19300554,74.18692912
1601,1,1,0,0,1,0,0,0,0,0,1,38.83762022,74.18825262
513,0,1,0,0,0,0,0,0,0,0,1,43.55112028,74.18833503
70,0,0,0,0,1,0,0,0,1,1,0,41.19657745,74.19050102
1217,1,0,0,1,1,0,0,0,0,0,1,38.84156676,74.19219916
101,0,0,0,0,1,1,0,0,1,0,1,38.85781564,74.20844804
705,0,1,0,1,1,0,0,0,0,0,1,38.86605624,74.21668864
1097,1,0,0,0,1,0,0,1,0,0,1,38.88880377,74.23943617
85,0,0,0,0,1,0,1,0,1,0,1,38.91915519,74.26978759
1025,1,0,0,0,0,0,0,0,0,0,1,43.67906862,74.31628336
8,0,0,0,0,0,0,0,1,0,0,0,46.06245928,74.3429652
168,0,0,0,1,0,1,0,1,0,0,0,41.36454824,74.35847182
257,0,0,1,0,0,0,0,0,0,0,1,43.77567294,74.41288769
524,0,1,0,0,0,0,0,1,1,0,0,41.42010507,74.41402864
1036,1,0,0,0,0,0,0,1,1,0,0,41.42795265,74.42187623
76,0,0,0,0,1,0,0,1,1,0,0,41.4502465,74.44417008
288,0,0,1,0,0,1,0,0,0,0,0,43.87916015,74.5163749
82,0,0,0,0,1,0,1,0,0,1,0,41.52652675,74.52045032
74,0,0,0,0,1,0,0,1,0,1,0,41.55398956,74.54791313
84,0,0,0,0,1,0,1,0,1,0,0,41.55460283,74.5485264
88,0,0,0,0,1,0,1,1,0,0,0,41.59677002,74.5906936
520,0,1,0,0,0,0,0,1,0,0,0,43.96883303,74.60604778
260,0,0,1,0,0,0,0,0,1,0,0,43.97589635,74.6131111
268,0,0,1,0,0,0,0,1,1,0,0,41.65885682,74.65278039
1101,1,0,0,0,1,0,0,1,1,0,1,36.94606585,74.65340707
1284,1,0,1,0,0,0,0,0,1,0,0,41.70994937,74.70387295
140,0,0,0,1,0,0,0,1,1,0,0,41.71303877,74.70696234
1057,1,0,0,0,0,1,0,0,0,0,1,41.72334101,74.71726459
161,0,0,0,1,0,1,0,0,0,0,1,41.7410883,74.73501187
552,0,1,0,0,0,1,0,1,0,0,0,41.74126756,74.73519113
514,0,1,0,0,0,0,0,0,0,1,0,44.12208138,74.75929613
77,0,0,0,0,1,0,0,1,1,0,1,39.50085773,74.85149013
2,0,0,0,0,0,0,0,0,0,1,0,46.5740965,74.85460242
1044,1,0,0,0,0,0,1,0,1,0,0,41.86480363,74.85872721
33,0,0,0,0,0,1,0,0,0,0,1,44.22951625,74.866731
276,0,0,1,0,0,0,1,0,1,0,0,41.87364285,74.86756643
106,0,0,0,0,1,1,0,1,0,1,0,39.52778327,74.87841567
545,0,1,0,0,0,1,0,0,0,0,1,41.89988859,74.89381217
114,0,0,0,0,1,1,1,0,0,1,0,39.579549,74.9301814
5,0,0,0,0,0,0,0,0,1,0,1,44.30525105,74.9424658
129,0,0,0,1,0,0,0,0,0,0,1,44.39673942,75.03395417
289,0,0,1,0,0,1,0,0,0,0,1,42.09327405,75.08719763
1042,1,0,0,0,0,0,1,0,0,1,0,42.11369445,75.10761802
