avg,min,max,gen,nevals,avg,min,max,gen,nevals
87.79735574710706,70.84631955677432,121.68651195475641,27,72,0.7291666666666666,0,5,27,72
89.78972199437841,70.84631955677432,117.32194943338963,28,78,0.6458333333333334,0,3,28,78
88.40858675549403,70.8465080228279,121.08853937593021,29,59,0.7291666666666666,0,5,29,59
88.35293474358936,70.8465080228279,118.67604534585067,30,74,0.71875,0,4,30,74
90.49665338247526,70.84655052046514,122.93027508830221,31,77,0.75,0,4,31,77
93.14329751286648,70.84662645265624,127.31418903079668,32,77,0.8020833333333334,0,5,32,77
87.49116257199937,70.84664025886951,118.6104991369078,33,79,0.6145833333333334,0,4,33,79
85.19702284599379,70.84657693796888,117.81959742031302,34,70,0.5208333333333334,0,4,34,70
86.59171326939877,70.84644505156436,118.79953143883685,35,79,0.6145833333333334,0,4,35,79
88.05187681219643,70.84644505156436,116.6988290679277,36,66,0.71875,0,4,36,66
92.7586941524848,70.84664025886951,118.8522718624383,37,74,0.90625,0,4,37,74
91.09680008543477,70.84654086255959,118.84106142999742,38,70,0.8229166666666666,0,4,38,70
90.94870910400823,70.84654086255959,123.0589248595508,39,67,0.9166666666666666,0,4,39,67
90.40960907505207,70.8466373446599,122.0139219259859,40,67,0.7291666666666666,0,5,40,67
87.82483463338566,70.846503477164,118.83993153826484,41,72,0.7395833333333334,0,4,41,72
89.64080140501581,70.8464880929142,121.04510444760452,42,74,0.8333333333333334,0,5,42,74
91.80290539599402,70.84656553454572,118.83988400151159,43,75,0.8125,0,4,43,75
87.39839739134634,70.84656553454572,115.42871205913204,44,59,0.6145833333333334,0,3,44,59
85.85887647560429,70.84656553454572,118.91230993177624,45,71,0.59375,0,4,45,71
85.50869463865264,70.84649044601906,118.73539181551583,46,78,0.59375,0,4,46,78
86.50133874046645,70.84653801512472,118.61374766748817,47,70,0.6666666666666666,0,4,47,70
88.52242140876301,70.84660848757684,123.03656856721109,48,82,0.7291666666666666,0,4,48,82
90.65889218359003,70.84664729360509,123.10533139833296,49,70,0.8333333333333334,0,4,49,70
87.1291922601974,70.84664729360509,122.96125887988984,50,64,0.7291666666666666,0,4,50,64
87.41610626046041,70.8465292736731,118.62125081118378,51,75,0.6770833333333334,0,4,51,75
91.56381318644975,70.8465292736731,118.70375542471822,52,79,0.8958333333333334,0,4,52,79
87.9856295862672,70.84651735250976,125.40477419942849,53,65,0.6979166666666666,0,6,53,65
90.92660036793536,70.8465292736731,121.05521366388471,54,77,0.84375,0,5,54,77
89.03839476400897,70.8465292736731,123.10424052622825,55,71,0.875,0,5,55,71
87.36517393470274,70.84640291761923,118.74013601023486,56,74,0.6875,0,4,56,74
89.06325609252674,70.84640291761923,125.41397437123575,57,81,0.7916666666666666,0,6,57,81
90.41764606521413,70.84657427739968,121.04439051567633,58,71,0.8020833333333334,0,5,58,71
93.27536855093986,70.84636087975205,121.05406338840764,59,71,0.90625,0,5,59,71
93.42129033455103,70.8464067940264,118.6248513308474,60,72,0.8645833333333334,0,4,60,72
92.61783630898253,70.8464067940264,119.44221354277565,61,72,0.9583333333333334,0,4,61,72
92.14862679594005,70.84663807517956,117.37381852737595,62,74,0.8958333333333334,0,3,62,74
90.93561601595974,70.8465727250658,118.9129280874675,63,73,0.875,0,4,63,73
89.50841548193982,70.84638795609702,125.41141118921635,64,72,0.8229166666666666,0,6,64,72
94.04960059997718,70.84666761124299,118.72591351935834,65,71,0.9375,0,4,65,71
93.35295888942316,70.84662729584944,125.41767349750288,66,73,1.0208333333333333,0,6,66,73
89.73547452594677,70.8464520287873,118.62056644794427,67,71,0.7395833333333334,0,4,67,71
89.1913653616338,70.8464520287873,121.04957563830831,68,66,0.78125,0,5,68,66
89.24442464831452,70.84639031306418,123.11150587679623,69,67,0.71875,0,4,69,67
90.79848992930188,70.84639031306418,123.03721118265996,70,72,0.8020833333333334,0,4,70,72
90.99826857095438,70.84639031306418,118.91087327656089,71,74,0.7291666666666666,0,4,71,74
86.81392438572504,70.84640255108394,118.74294876351593,72,67,0.5,0,3,72,67
88.66307065764796,70.84662064383735,121.06806198906483,73,71,0.6875,0,5,73,71
87.08937905585422,70.84639455805757,121.04700842141568,74,68,0.6145833333333334,0,5,74,68
90.69891111964819,70.84652987511592,117.43617958202061,75,68,0.65625,0,4,75,68
91.66629754532404,70.84639513173265,117.45120217317576,76,75,0.8020833333333334,0,3,76,75
90.87558508400694,70.84639513173265,118.84760950284758,77,74,0.8229166666666666,0,3,77,74
89.83910711702316,70.84639513173265,122.02250405240272,78,69,0.8020833333333334,0,5,78,69
89.01529749673273,70.8465473655137,121.05400784053197,79,69,0.7708333333333334,0,5,79,69
93.79374846426292,70.8465473655137,118.84049943688088,80,76,0.8854166666666666,0,4,80,76
95.1287509261421,70.8465473655137,121.05463264401246,81,75,1.09375,0,5,81,75
